gameNumber,location,weather,opponent,date,mlbAtBatIndex,realAtBatIndex,pitcherName,battingSide,playResult,playResultType,countBalls,countStrikes,pitchResultCode,pitchType,startSpeed,endSpeed,aY,aZ,pfxX,pfxZ,pX,pZ,vX0,vY0,vZ0,x,y,x0,y0,z0,aX,breakAngle,breakLength,breakY,spinRate,spinDirection,plateTime,extension,
92,a,Clear,KC,2019-07-17,19,0,Danny Duffy,L,Flyout,field_out,0,0,B,FF,91.2,84.3,25.52,-16,5.31,8.94,1.17,3.02,-2.43,-132.91,-4.33,72.22,157.44,1.4,50,5.81,9.61,28.8,4.8,24,2178,149,0.41,6.58,
92,a,Clear,KC,2019-07-17,19,0,Danny Duffy,L,Flyout,field_out,1,0,B,FF,89.7,82.8,24.9,-15.23,4.11,9.69,-0.33,4.1,-5.6,-130.72,-1.5,129.7,128.07,1.29,50,5.81,7.19,21.6,3.6,24,2174,160,0.42,6.6,
92,a,Clear,KC,2019-07-17,19,0,Danny Duffy,L,Flyout,field_out,2,0,C,FF,91.6,84.9,24.82,-15.21,6.18,9.31,-0.49,1.76,-7.23,-133.23,-7.24,135.89,190.85,1.43,50,5.58,11.27,31.2,4.8,24,2266,147,0.41,6.64,
92,a,Clear,KC,2019-07-17,19,0,Danny Duffy,L,Flyout,field_out,2,1,S,FF,91.7,85.2,24.26,-17.08,5.17,8.22,-0.38,2.36,-6.75,-133.53,-5.44,131.52,175.17,1.49,50,5.62,9.48,25.2,4.8,24,2178,150,0.41,6.38,
92,a,Clear,KC,2019-07-17,19,0,Danny Duffy,L,Flyout,field_out,2,2,X,FF,93.8,87,25.55,-13.54,5.46,9.72,-0.43,2.37,-6.93,-136.52,-6.28,133.23,174.74,1.42,50,5.6,10.47,32.4,3.6,24,2349,152,0.4,6.51,
92,a,Clear,KC,2019-07-17,42,1,Danny Duffy,L,Home Run,home_run,0,0,E,FF,90.8,84.4,23.73,-16.97,4.89,8.43,0.74,2.77,-3.54,-132.3,-4.51,88.65,163.93,1.45,50,5.71,8.81,25.2,4.8,24,2139,150,0.41,6.48,
92,a,Clear,KC,2019-07-17,60,2,Jake Diekman,L,Single,single,0,0,C,FF,95.1,87.5,28.29,-19.03,7.86,6.74,0.48,2.88,-11.49,-138.13,-3.4,98.65,160.99,3.66,50,5.39,15.32,33.6,4.8,24,2082,134,0.39,6.58,
92,a,Clear,KC,2019-07-17,60,2,Jake Diekman,L,Single,single,0,1,B,SL,86.8,81,21.97,-33.01,-1.86,-0.51,-1.23,2.08,-11.96,-125.93,-1.36,164.41,182.64,3.79,50,5.26,-3.04,8.4,8.4,24,2895,279,0.44,5.97,
92,a,Clear,KC,2019-07-17,60,2,Jake Diekman,L,Single,single,1,1,F,SL,86.5,80.6,22.32,-34.44,-1.14,-1.4,0.03,1.71,-9.07,-125.72,-1.87,116.03,192.76,3.81,50,5.22,-1.85,4.8,8.4,24,2892,304,0.44,5.89,
92,a,Clear,KC,2019-07-17,60,2,Jake Diekman,L,Single,single,1,2,D,SL,87.1,81.3,21.32,-33.41,-0.51,-0.75,0.18,2.5,-8.87,-126.58,-0.24,110.06,171.34,3.77,50,5.23,-0.85,3.6,8.4,24,3008,294,0.43,5.75,
